"Date","Price","Open","High","Low","Vol.","Change %"
"23-09-2022","344.28","345.37","347.41","341.20","22.84M","0.39%"
"22-09-2022","342.94","338.91","346.61","338.81","24.18M","1.20%"
"21-09-2022","338.86","333.94","343.09","333.45","20.99M","1.47%"
"20-09-2022","333.94","336.68","337.52","332.95","9.53M","0.12%"
"19-09-2022","333.55","327.08","334.84","327.08","14.37M","1.30%"
"16-09-2022","329.27","330.32","332.55","327.68","12.49M","-0.84%"
"15-09-2022","332.05","334.34","334.99","330.86","8.42M","-0.37%"
"14-09-2022","333.30","328.97","336.92","328.92","12.27M","0.28%"
"13-09-2022","332.35","329.67","332.95","328.58","10.52M","1.06%"
"12-09-2022","328.87","329.97","330.36","327.98","8.71M","0.12%"
"09-09-2022","328.48","328.58","331.26","327.98","9.41M","0.18%"
"08-09-2022","327.88","326.99","328.58","325.49","10.91M","1.17%"
"07-09-2022","324.10","324.00","326.29","323.26","8.09M","-0.32%"
"06-09-2022","325.15","327.98","327.98","324.40","11.97M","-0.52%"
"05-09-2022","326.84","323.01","327.58","321.77","17.47M","1.76%"
"02-09-2022","321.17","316.75","322.27","316.10","25.76M","1.75%"
"01-09-2022","315.65","317.54","319.93","314.07","13.25M","-0.91%"
"30-08-2022","318.54","312.33","319.43","312.33","17.83M","2.22%"
"29-08-2022","311.63","308.10","313.02","306.96","11.36M","0.21%"
"26-08-2022","310.98","312.82","313.47","310.09","6.96M","0.18%"
"25-08-2022","310.44","313.52","314.46","309.69","7.76M","-0.56%"
"24-08-2022","312.18","313.82","317.49","311.13","11.35M","-0.57%"
"23-08-2022","313.97","311.03","314.07","310.19","9.34M","0.48%"
"22-08-2022","312.48","309.30","315.06","309.10","11.36M","0.77%"
"19-08-2022","310.09","314.21","314.21","309.30","10.42M","-1.16%"
"18-08-2022","313.72","311.08","314.07","310.69","9.88M","0.99%"
"17-08-2022","310.64","309.79","311.33","309.10","7.98M","0.64%"
"16-08-2022","308.65","306.66","309.59","306.66","8.61M","0.65%"
"12-08-2022","306.66","304.38","307.51","302.64","6.42M","0.75%"
"11-08-2022","304.38","311.08","311.53","303.43","10.89M","-1.59%"
"10-08-2022","309.30","311.23","312.18","308.85","8.92M","-0.62%"
"08-08-2022","311.23","309.05","312.03","308.15","8.31M","0.74%"
"05-08-2022","308.95","307.61","309.89","307.21","10.09M","0.44%"
"04-08-2022","307.61","306.11","308.45","305.27","15.90M","0.44%"
"03-08-2022","306.26","309.00","309.00","301.79","17.70M","-0.58%"
"02-08-2022","308.05","308.10","314.71","306.31","38.98M","0.80%"
"01-08-2022","305.62","302.14","306.91","301.24","15.89M","1.47%"
"29-07-2022","301.19","303.13","304.03","299.51","16.93M","-0.13%"
"28-07-2022","301.59","303.03","303.33","300.55","10.84M","-0.23%"
"27-07-2022","302.29","301.00","303.13","298.76","9.35M","0.56%"
"26-07-2022","300.60","299.16","301.89","298.61","9.74M","0.45%"
"25-07-2022","299.26","297.17","301.10","296.97","10.64M","0.18%"
"22-07-2022","298.71","298.16","300.65","296.27","9.97M","0.33%"
"21-07-2022","297.72","297.17","300.35","296.17","16.04M","0.45%"
"20-07-2022","296.37","293.09","297.67","291.80","15.79M","1.22%"
"19-07-2022","292.80","293.19","293.79","290.91","9.19M","-0.24%"
"18-07-2022","293.49","293.19","294.49","291.95","11.32M","0.60%"
"15-07-2022","291.75","290.21","292.20","287.73","11.03M","0.93%"
"14-07-2022","289.07","292.50","294.54","287.38","13.41M","-1.09%"
"13-07-2022","292.25","291.21","292.99","290.91","9.28M","0.46%"
"12-07-2022","290.91","291.21","293.54","289.12","14.07M","-0.78%"
"11-07-2022","293.19","291.21","295.13","290.26","12.35M","0.67%"
"08-07-2022","291.26","291.11","292.65","288.62","11.11M","0.38%"
"07-07-2022","290.16","289.22","291.36","286.73","13.79M","0.92%"
"06-07-2022","287.53","284.35","288.22","283.55","18.29M","0.84%"
"05-07-2022","285.14","291.21","291.21","284.00","18.57M","-1.71%"
"04-07-2022","290.11","283.90","291.50","283.06","39.88M","2.66%"
"01-07-2022","282.61","271.83","283.26","269.54","35.17M","3.97%"
"30-06-2022","271.83","272.27","273.02","270.33","19.26M","-0.20%"
"29-06-2022","272.37","267.60","273.32","267.50","16.02M","0.81%"
"28-06-2022","270.18","267.25","270.58","266.91","11.24M","0.70%"
"27-06-2022","268.30","265.36","268.99","264.87","8.17M","1.54%"
"24-06-2022","264.22","264.47","266.71","263.58","7.01M","0.13%"
"23-06-2022","263.87","263.87","265.61","260.79","9.07M","0.08%"
"22-06-2022","263.68","265.36","268.64","263.28","11.32M","-1.70%"
"21-06-2022","268.25","263.38","269.19","262.48","13.88M","2.20%"
"20-06-2022","262.48","261.69","264.52","259.75","17.08M","0.30%"
"17-06-2022","261.69","257.41","262.53","256.97","16.65M","1.00%"
"16-06-2022","259.10","265.36","266.26","257.91","14.29M","-1.02%"
"15-06-2022","261.79","264.37","265.66","261.44","5.06M","-0.77%"
"14-06-2022","263.83","261.59","265.81","261.44","7.42M","0.30%"
"13-06-2022","263.03","264.77","267.45","261.39","11.09M","-2.04%"
"10-06-2022","268.50","267.40","269.34","267.10","8.37M","-0.26%"
"09-06-2022","269.19","266.16","270.04","264.12","9.86M","1.10%"
"08-06-2022","266.26","272.27","272.72","264.57","14.36M","-2.19%"
"07-06-2022","272.22","271.53","273.32","270.58","10.83M","-0.33%"
"06-06-2022","273.12","270.73","274.11","268.05","10.93M","0.77%"
"03-06-2022","271.03","273.32","274.01","269.94","12.49M","-0.29%"
"02-06-2022","271.83","269.04","272.77","266.21","14.24M","0.61%"
"01-06-2022","270.18","268.99","272.42","268.55","14.70M","0.44%"
"31-05-2022","268.99","267.40","272.82","264.77","23.21M","0.59%"
"30-05-2022","267.40","268.84","269.34","265.96","11.82M","-0.06%"
"27-05-2022","267.55","267.35","269.04","263.43","13.47M","0.94%"
"26-05-2022","265.07","266.61","266.61","262.23","18.42M","-2.20%"
"25-05-2022","271.03","271.28","272.22","268.84","15.29M","0.68%"
"24-05-2022","269.19","273.32","273.32","268.35","15.55M","-1.33%"
"23-05-2022","272.82","278.29","278.73","271.38","21.70M","-1.96%"
"20-05-2022","278.29","275.30","280.62","275.30","32.37M","1.58%"
"19-05-2022","273.96","260.99","277.54","260.99","78.29M","2.68%"
"18-05-2022","266.80","266.00","267.80","263.15","20.20M","0.79%"
"17-05-2022","264.70","255.00","265.50","254.80","17.80M","4.17%"
"16-05-2022","254.10","259.95","259.95","253.00","8.19M","-1.74%"
